,Rank,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
0,1,Avengers: Endgame,"$357,115,007","$858,373,000",41.6%,4662,"$76,601","Apr 26, 2019",Walt Disney Studios Motion Pictures
1,2,Avengers: Infinity War,"$257,698,183","$678,815,482",38%,4474,"$57,599","Apr 27, 2018",Walt Disney Studios Motion Pictures
2,3,Star Wars: Episode VII - The Force Awakens,"$247,966,675","$936,662,225",26.5%,4134,"$59,982","Dec 18, 2015",Walt Disney Studios Motion Pictures
3,4,Star Wars: Episode VIII - The Last Jedi,"$220,009,584","$620,181,382",35.5%,4232,"$51,987","Dec 15, 2017",Walt Disney Studios Motion Pictures
4,5,Jurassic World,"$208,806,270","$652,270,625",32%,4274,"$48,855","Jun 12, 2015",Universal Pictures
5,6,The Avengers,"$207,438,708","$623,357,910",33.3%,4349,"$47,698","May 4, 2012",Walt Disney Studios Motion Pictures
6,7,Black Panther,"$202,003,951","$700,059,566",28.9%,4020,"$50,249","Feb 16, 2018",Walt Disney Studios Motion Pictures
7,8,The Lion King,"$191,770,759","$543,638,043",35.3%,4725,"$40,586","Jul 19, 2019",Walt Disney Studios Motion Pictures
8,9,Avengers: Age of Ultron,"$191,271,109","$459,005,868",41.7%,4276,"$44,731","May 1, 2015",Walt Disney Studios Motion Pictures
9,10,Incredibles 2,"$182,687,905","$608,581,744",30%,4410,"$41,425","Jun 15, 2018",Walt Disney Studios Motion Pictures
10,11,Captain America: Civil War,"$179,139,142","$408,084,349",43.9%,4226,"$42,389","May 6, 2016",Walt Disney Studios Motion Pictures
11,12,Star Wars: Episode IX - The Rise of Skywalker,"$177,383,864","$515,202,542",34.4%,4406,"$40,259","Dec 20, 2019",Walt Disney Studios Motion Pictures
12,13,Beauty and the Beast,"$174,750,616","$504,014,165",34.7%,4210,"$41,508","Mar 17, 2017",Walt Disney Studios Motion Pictures
13,14,Iron Man 3,"$174,144,585","$409,013,994",42.6%,4253,"$40,946","May 3, 2013",Walt Disney Studios Motion Pictures
14,15,Harry Potter and the Deathly Hallows: Part 2,"$169,189,427","$381,011,219",44.4%,4375,"$38,671","Jul 15, 2011",Warner Bros.
15,16,Batman v Superman: Dawn of Justice,"$166,007,347","$330,360,194",50.2%,4242,"$39,134","Mar 25, 2016",Warner Bros.
16,17,The Dark Knight Rises,"$160,887,295","$448,139,099",35.9%,4404,"$36,532","Jul 20, 2012",Warner Bros.
17,18,The Dark Knight,"$158,411,483","$533,345,358",29.7%,4366,"$36,282","Jul 18, 2008",Warner Bros.
18,19,The Hunger Games: Catching Fire,"$158,074,286","$424,668,047",37.2%,4163,"$37,971","Nov 22, 2013",Lionsgate
19,20,Rogue One: A Star Wars Story,"$155,081,681","$532,177,324",29.1%,4157,"$37,306","Dec 16, 2016",Walt Disney Studios Motion Pictures
20,21,Captain Marvel,"$153,433,423","$426,829,839",36%,4310,"$35,599","Mar 8, 2019",Walt Disney Studios Motion Pictures
21,22,The Hunger Games,"$152,535,747","$408,010,692",37.4%,4137,"$36,871","Mar 23, 2012",Lionsgate
22,23,Spider-Man 3,"$151,116,516","$336,530,303",44.9%,4252,"$35,540","May 4, 2007",Sony Pictures Entertainment (SPE)
23,24,Jurassic World: Fallen Kingdom,"$148,024,610","$417,719,760",35.4%,4475,"$33,078","Jun 22, 2018",Universal Pictures
24,25,Furious 7,"$147,187,040","$353,007,020",41.7%,4004,"$36,760","Apr 3, 2015",Universal Pictures
25,26,Guardians of the Galaxy Vol. 2,"$146,510,104","$389,813,101",37.6%,4347,"$33,703","May 5, 2017",Walt Disney Studios Motion Pictures
26,27,The Twilight Saga: New Moon,"$142,839,137","$296,623,634",48.2%,4024,"$35,496","Nov 20, 2009",Summit Entertainment
27,28,The Twilight Saga: Breaking Dawn - Part 2,"$141,067,634","$292,324,737",48.3%,4070,"$34,660","Nov 16, 2012",Lionsgate
28,29,The Twilight Saga: Breaking Dawn - Part 1,"$138,122,261","$281,287,133",49.1%,4061,"$34,011","Nov 18, 2011",Summit Entertainment
29,30,Pirates of the Caribbean: Dead Man's Chest,"$135,634,554","$423,315,812",32%,4133,"$32,817","Jul 7, 2006",Walt Disney Studios Motion Pictures
30,31,Finding Dory,"$135,060,273","$486,295,561",27.8%,4305,"$31,372","Jun 17, 2016",Walt Disney Studios Motion Pictures
31,32,Suicide Squad,"$133,682,248","$325,100,054",41.1%,4255,"$31,417","Aug 5, 2016",Warner Bros.
32,33,Deadpool,"$132,434,639","$363,070,709",36.5%,3558,"$37,221","Feb 12, 2016",Twentieth Century Fox
33,34,Frozen II,"$130,263,358","$477,373,578",27.3%,4440,"$29,338","Nov 22, 2019",Walt Disney Studios Motion Pictures
